,open,low,high,close,price_change,change_percent,date,shamsi_date
1181,"33,990","33,850","33,990","33,850",-,-,2015/09/17,1394/06/26
1182,"33,980","33,850","34,000","33,850",20,0.06%,2015/09/19,1394/06/28
1183,"34,020","33,830","34,040","33,830",110,0.33%,2015/09/20,1394/06/29
1184,"33,820","33,720","33,820","33,720",160,0.47%,2015/09/21,1394/06/30
1185,"34,020","33,880","34,080","33,880",30,0.09%,2015/09/22,1394/06/31
1186,"33,900","33,850","33,950","33,850",10,0.03%,2015/09/23,1394/07/01
1187,"33,950","33,840","33,970","33,840",90,0.27%,2015/09/26,1394/07/04
1188,"33,910","33,910","34,200","33,930",10,0.03%,2015/09/27,1394/07/05
1189,"34,010","33,920","34,200","33,920",170,0.5%,2015/09/28,1394/07/06
1190,"34,170","33,950","34,250","34,090",-,-,2015/09/29,1394/07/07
1191,"34,650","34,090","34,650","34,090",40,0.12%,2015/09/30,1394/07/08
1192,"34,290","34,050","34,520","34,050",40,0.12%,2015/10/01,1394/07/09
1193,"34,370","34,090","34,610","34,090",140,0.41%,2015/10/03,1394/07/11
1194,"34,450","33,950","34,450","33,950",40,0.12%,2015/10/04,1394/07/12
1195,"34,230","33,990","34,500","33,990",-,-,2015/10/05,1394/07/13
1196,"34,160","33,990","34,850","33,990",-,-,2015/10/06,1394/07/14
1197,"34,560","33,990","34,750","33,990",10,0.03%,2015/10/07,1394/07/15
1198,"34,400","33,980","34,790","33,980",-,-,2015/10/08,1394/07/16
1199,"34,140","33,980","34,790","33,980",80,0.24%,2015/10/10,1394/07/18
1200,"34,400","33,900","34,650","33,900",10,0.03%,2015/10/11,1394/07/19
1201,"34,700","33,890","34,700","33,890",10,0.03%,2015/10/12,1394/07/20
1202,"34,420","33,880","34,550","33,880",10,0.03%,2015/10/13,1394/07/21
1203,"33,950","33,880","34,670","33,890",10,0.03%,2015/10/14,1394/07/22
1204,"34,530","33,880","34,600","33,880",10,0.03%,2015/10/15,1394/07/23
1205,"34,450","33,870","34,530","33,870",-,-,2015/10/17,1394/07/25
1206,"34,390","33,870","34,390","33,870",60,0.18%,2015/10/18,1394/07/26
1207,"34,330","33,810","34,350","33,810",-,-,2015/10/19,1394/07/27
1208,"34,190","33,810","34,290","33,810",20,0.06%,2015/10/20,1394/07/28
1209,"34,270","33,830","34,390","33,830",20,0.06%,2015/10/21,1394/07/29
1210,"34,410","33,850","34,540","33,850",-,-,2015/10/22,1394/07/30
1211,"34,010","33,850","34,600","33,850",30,0.09%,2015/10/25,1394/08/03
1212,"34,410","33,880","34,550","33,880",10,0.03%,2015/10/26,1394/08/04
1213,"34,040","33,890","34,790","33,890",10,0.03%,2015/10/27,1394/08/05
1214,"34,340","33,900","34,900","33,900",10,0.03%,2015/10/28,1394/08/06
1215,"34,090","33,890","34,850","33,890",-,-,2015/10/29,1394/08/07
1216,"34,080","33,890","34,820","33,890",60,0.18%,2015/10/31,1394/08/09
1217,"34,980","33,950","34,980","33,950",10,0.03%,2015/11/01,1394/08/10
1218,"34,150","33,940","34,980","33,940",-,-,2015/11/02,1394/08/11
1219,"34,550","33,940","34,950","33,940",10,0.03%,2015/11/03,1394/08/12
1220,"34,990","33,930","34,990","33,930",40,0.12%,2015/11/04,1394/08/13
1221,"34,950","33,890","34,950","33,890",40,0.12%,2015/11/05,1394/08/14
1222,"34,950","33,930","34,970","33,930",20,0.06%,2015/11/07,1394/08/16
1223,"35,080","33,950","35,120","33,950",10,0.03%,2015/11/08,1394/08/17
1224,"34,200","33,960","35,350","33,960",10,0.03%,2015/11/09,1394/08/18
1225,"35,190","33,950","35,500","33,950",10,0.03%,2015/11/10,1394/08/19
1226,"35,070","33,940","35,350","33,940",10,0.03%,2015/11/11,1394/08/20
1227,"34,790","33,930","35,450","33,930",1820,5.36%,2015/11/12,1394/08/21
1228,"35,750","35,750","35,750","35,750",1760,5.18%,2015/11/13,1394/08/22
1229,"35,580","33,990","35,650","33,990",50,0.15%,2015/11/14,1394/08/23
1230,"34,330","33,940","35,700","33,940",-,-,2015/11/15,1394/08/24
1231,"35,590","33,940","35,590","33,940",-,-,2015/11/16,1394/08/25
1232,"34,260","33,940","35,530","33,940",10,0.03%,2015/11/17,1394/08/26
1233,"34,270","33,930","35,590","33,930",-,-,2015/11/18,1394/08/27
1234,"35,610","33,930","35,610","33,930",-,-,2015/11/19,1394/08/28
1235,"34,590","33,930","35,570","33,930",10,0.03%,2015/11/21,1394/08/30
1236,"34,900","33,940","35,690","33,940",-,-,2015/11/22,1394/09/01
1237,"35,750","33,940","35,750","33,940",40,0.12%,2015/11/23,1394/09/02
1238,"35,420","33,980","35,810","33,980",10,0.03%,2015/11/24,1394/09/03
1239,"35,870","33,990","35,930","33,990",70,0.21%,2015/11/25,1394/09/04
1240,"35,990","33,920","35,990","33,920",10,0.03%,2015/11/26,1394/09/05
1241,"33,930","33,930","33,930","33,930",60,0.18%,2015/11/27,1394/09/06
1242,"33,920","33,920","36,390","33,990",-,-,2015/11/28,1394/09/07
1243,"36,530","33,990","36,530","33,990",-,-,2015/11/29,1394/09/08
1244,"35,080","33,990","35,830","33,990",-,-,2015/11/30,1394/09/09
1245,"34,170","33,990","36,470","33,990",20,0.06%,2015/12/01,1394/09/10
1246,"34,330","33,970","36,350","33,970",-,-,2015/12/03,1394/09/12
1247,"36,190","33,970","36,190","33,970",-,-,2015/12/05,1394/09/14
1248,"36,000","33,970","36,000","33,970",10,0.03%,2015/12/06,1394/09/15
1249,"35,780","33,960","36,390","33,960",-,-,2015/12/07,1394/09/16
1250,"36,200","33,960","36,200","33,960",10,0.03%,2015/12/08,1394/09/17
